"ResponseId","Q8_1","Q8_2","Q8_3","Q8_4","Q8_5","Q8_6","Q8_7","Q8_8","Q8_9","Q8_10","Q8_11","Q8_12","Q8_13","Q8_14","Q8_15","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q9_8","Q9_9","Q9_10","Q9_11","Q9_12","Q9_13","Q9_14","Q9_15","Q10","Q11","Q12","Q13","Q14","Q15_1","Q16","Q17","Q18","writing"
"R_5mRUKxbxQSVG10N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"R_eQdlu1RQ5RcERKt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"R_4JhSZsRIl2cuULz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"R_55bn6infKzypYq1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"R_d9XR1WW7kosjPQF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"R_55UMbIgof581PjT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"R_0lCYGwKB7jDQihv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"R_8GNCEJmQ442hWtL",3,4,3,4,3,5,4,4,5,4,3,4,4,5,4,4,3,4,3,3,3,4,3,4,5,4,3,4,4,4,"Woman",18,"White","1","Catholic",4,"",4,4,"I agree with the action taken by the United States. Syria has no reason for attack and is just causing problems. "
"R_79t6xEMevnnOEZf",4,2,4,5,3,4,4,5,2,4,2,5,4,3,4,3,4,4,2,4,3,4,2,4,3,3,4,3,3,4,"Man",19,"White","1","catholic",8,"CMB",5,6,""
"R_8G4q2blD8RJL5Vr",3,3,4,4,5,3,4,4,3,4,4,5,3,4,5,3,3,5,3,5,4,3,3,5,4,3,2,3,5,4,"Man",19,"Asian","1","none",4,"Logistics",4,3,"I think it was pretty messed up that they used chemical weapons, they really mess people up a lot"
"R_5AsR1TkqQeE4dP7",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Woman",19,"Mixed","1","Christian",5,"Nursing",1,1,"I don't know anything about that. I'm not really a news person."
"R_5hljI81sE4o1LLv",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Woman",19,"Hispanic","2","Catholic",5,"interior Deisgn",1,1,""
"R_5svtXxrdXBhimA5",4,5,4,4,4,4,4,4,3,3,3,4,4,3,3,2,4,3,4,3,3,3,3,3,3,3,3,3,3,3,"Man",20,"White","2","Christian",2,"Business",5,8,"I dont think  that the United states should participate in the use of chemical weapons its only creates danger for the people and country."
"R_eJvK6RUMw4kXUuF",2,4,3,4,3,2,2,5,4,3,2,4,5,4,2,3,1,4,3,5,2,4,3,2,6,4,2,4,3,4,"Man",18,"White","1","none",5,"communications",1,1,"Well I am not to involved in politics and haven't heard of this yet. However if someone is using chemical weapons the outcome is never good. "
"R_eFDrNT0qlxgG35z",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,6,6,6,4,6,4,4,4,4,6,4,5,6,"Woman",18,"Black","1","christan",1,"nursing",1,1,"I fell like its wrong to use chemical weapons  not only is it danger to the united states but its really danger to themselves "
"R_eLheFiZJyD5clo1",3,3,2,2,2,2,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,2,2,3,2,2,3,2,3,2,"Woman",19,"White","1","Non-denominational",3,"Business",3,7,""
"R_8bQdiudmK7pgYLP",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Man",20,"Black","2","Christian ",2,"Construction management ",4,2,"Syria used chemical weapons in a bad way"
"R_1RKH4BBPBmQcUyV",4,3,3,4,4,3,3,3,4,3,4,4,4,3,4,3,4,3,4,4,3,3,3,4,3,4,4,3,3,4,"Woman",29,"Other","1","buddish",6,"Not decided",6,6,"I think that it is not good to use of chemical weapons because they may promote frictions between two countries. "
"R_8dWED80t6nKJEkl",5,5,5,5,4,4,2,3,4,5,6,6,6,6,6,5,6,6,6,5,6,3,6,6,6,6,6,6,5,2,"Woman",19,"White","1","Latter Day Saint",1,"Marketing",5,4,"I think that the United State should stay out of Syria's business. They are their own country and don't need anything from the US. I think most of the wars and conflicts arose from other countries coming in, and causing trouble...."
"R_bOqJQz3KX6Xnk3P",4,3,3,2,4,5,2,4,3,5,4,2,3,5,3,3,1,3,4,3,2,3,2,4,3,2,5,3,2,4,"Man",18,"White","1","christian",5,"construction management",1,3,"I dont think that Syria should be able to use chemical weapons."
"R_8ldtVkpKWRKnwDX",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Woman",18,"White","1","southern baptist",3,"Fashion Merchandising and Business",4,4,"My main reaction is surprise. This is a horrible thing. "
"R_a43dfw6jOB86s8B",5,5,2,4,3,5,3,5,2,6,4,2,6,3,6,3,5,5,2,3,5,3,4,4,4,3,4,4,4,6,"Man",19,"White","1","none",9,"cis",4,7,"the use of chemical weapons is a sad one, the fact that anyone would want to harm one is a great disappointment opt the human race; but humans are destined to cause problems as long as there are people who disagree with them. i don't want anyone to have to go to war but at the same time if no one stands up to tyranny it will continue to reign. i've came to terms with my contradicting mindset and i've concluded that i should just let the people in office who are more set on what they think they should do come up with the answers"
"R_a8IFDyGuMRq130N",3,4,4,3,4,5,5,3,4,4,3,5,5,4,4,3,2,3,3,4,4,4,5,4,5,3,3,4,5,4,"Man",20,"White","2","Christian ",2,"Undecided",3,3,"I have not really looked up anything on syria's use of chemical weapons. I really have no clue on the subject material. "
"R_aYkZ9JoE41ojfSt",5,4,5,5,5,6,4,3,4,4,4,4,3,2,3,5,4,4,5,5,4,5,4,4,4,5,4,4,4,1,"Woman",19,"White","1","Christian ",3,"Nursing",3,6,""
"R_bPbCTbtLpzoP2kd",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Man",19,"White","1","Catholic",6,"Accounting",4,4,"Reactions were similar, both were worried and cautious. "
"R_5gytBTjYPbmjovH",3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,6,4,4,4,4,4,4,4,4,3,3,3,"Woman",19,"White","1","none",5,"undeclared",1,1,""
"R_0kv5oVxE7rqkSNL",4,4,6,6,6,5,2,2,2,2,1,4,3,2,6,5,6,5,5,5,2,2,2,2,5,4,1,2,2,5,"Woman",19,NA,"26","Christian",8,"Art + Design",6,10,", , "
"R_4YDoOew8I06qQ3b",6,6,5,5,6,5,6,5,6,5,6,6,6,6,6,6,5,6,6,6,5,5,6,6,6,5,6,6,6,6,"Man",22,"Other","3","none",5,"business management",5,5,"Syria's use of chemical weapons was a tragedy for the victims and a call to arms for the united nations that something needs to be done. We as a collective whole strive to make chemical weapons obsolete and for Syria to use them on their own people is just horrifying. I think the United States and the rest of the joint nations need to react with great fierceness and swiftness to make sure this atrocity doesn't take place again."
"R_b8Ue2fLczK91D4p",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,"Woman",19,"White","1","None",5,"Psychology",1,1,"The United states was not happy about Syria's use of chemical weapons. They believe this situation is very serious and very dangerous on Syria's part. The United states said they will do anything in their power to fix this problem"
