Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1,Q7,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q22,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q10,Q11,Q12,Q13,Q14,Q15_1,Q16,Q17,Q18,Q19
957,1,1/20/14 18:17,R_bjgXIQn6B9laUSh,,,,,,,2,"I believe that the United States should have stayed out of it. The amount of people killed in Syria due to that tragedy did not even come close to the amount of people killed by the drug cartels in Mexico over the last year. Culturally speaking, having already infiltrated Iraq and Afghanistan, I feel that the Syrian people would only see us as conquerors and invaders. The world already views America in this light and so currently think it would be best for us to tread lightly. When looking at the history of the United States, I find that we often intervened in other countries going through similar situations. It didn't always end well when we did that.  ",1.325,507.502,511.11,10,3,1,1,1,2,2,2,2,1,1,2,1,5,1,1,2,2,1,3,6,6,1,3,1,2,3,1,3,1,1,1,2,22,6,2,Agnostic,5,Business Administration,6,9,1
395,1,1/20/14 19:08,R_9T7zDNx3z6DPYk5,,,,,,,2,"Honestly, I feel that it is not the United State's position to intervene in any other country. While the United States stands for peace and equality--our nation has enough problems that require personal attention, which should be first and foremost. Our nation will spend billions, and be billions in debt, and it's going to completely ruin our nation's credibility someday.",2.631,2.631,97.51,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,6,6,5,5,5,3,5,5,5,5,5,5,2,18,1,1,Christian,5,Pre-nursing,1,1,2
1180,1,1/21/14 0:07,R_9nVQGdpqfGgcLpX,,,,,,,2,"I am not knowledgeable regarding political or military conflicts; However, I consider any news from Fox news to be very conservative. Therefore, the staff of Fox News will desire to manipulate the concept of the viewers by providing conservative conclusions and thoughts.Syria does not actually like their president Bashar Al-Assad; therefore, it is unfair to say that Syria wants to unleash the chemical weapon.As for the United States of America, I believe that they might have exaggerated in their reactions!Nevertheless, each country will seek to defend its existence and freedom. Thus, their reactions might be influenced by psychological disorders, such as: anxiety disorder or panic disorder.",5.233,15.19,531.801,3,5,6,1,6,5,5,6,2,6,5,3,2,6,5,5,3,6,6,6,6,6,6,1,6,4,6,5,1,6,6,6,1,22,6,4,Islam,8,Psychology,1,2,2
782,1,1/21/14 0:43,R_23ujAniDh0cykXr,,,,,,,2,"I fully disagree with the use of chemical weapons in any conflict.  It is a horrific act of violence and terror that is unparalleled in its heinous nature.  And while I appreciate the diplomatic nature of President Obama's reaction to the Syrian bombings, I have little faith that the President will do anything to stop the attacks.  He has drawn red line after red line without holding Assad responsible for his actions.  Unfortunately, the United Nations has not proven itself either.  The UN drug its feet in the investigation and came back with inconclusive results as to who was responsible while the entire world was in agreement that there was no other individual who could have had access to such a large quantity of these bombs, or who would've chosen to bomb that particular town of Syrian rebels.  The US preaches about the importance of human rights, but lacks the strength or the drive to intervene when it is truly necessary.",2.546,2.546,426.33,1,9,5,4,5,5,5,6,2,2,2,2,2,3,2,1,1,4,4,5,6,6,1,4,3,2,4,1,6,1,1,1,2,19,1,3,Christian,4,Political Science,9,10,1
1084,1,1/21/14 12:10,R_2sBTUjbOcObe5tb,,,,,,,2,"The use of chemical weapons is inhumane and should be considered intolerable. With that being said, It should not be the sole responsibility of the U.S. government to contain such actions. It should be a joint effort between the United Nations and International allies to ensure such tactics are not used, by allies or enemies.",5.323,180.73,191.916,7,3,4,4,6,6,5,5,4,3,3,4,3,6,5,5,3,6,3,1,3,4,3,2,4,3,6,4,6,6,4,3,1,26,1,2,Christianity,7,Undeclared,2,7,1
694,1,1/21/14 12:44,R_aYp2xIzjH4KhjIp,,,,,,,2,The world concerning Syria and its use of chemical weapons on its own people is a murky one. While I believe it is an unconscionable act to do such a thing I also find the US's reporting of such actions to be flawed and extremely prejudice depending on the new agencies reporting them. As a regular citizen I'm confused as to what to think at all. I agree that if Syria has perpetrated these crimes and the United States has irrefutable proof then we are honor bound to do what we can to help the Syrian people and reprimand the syrian regime that allowed the chemicals to be used. I agree that this heinous crime should be the red line that if crossed requires the worlds attention and punishment but at this point in time I couldn't tell you for sure who is to blame and how the United States could possibly help without risking the start of World War Three. World Politics are a slippery slope and once we go down the path against this syrian regime we run the risk of creating another iraq war or worse. ,2.617,283.272,319.425,7,6,5,4,4,4,3,5,2,3,2,2,2,5,4,2,3,6,6,5,6,5,5,3,3,3,4,3,4,3,3,4,2,19,1,1,"Methodist by church but more spiritual than a religious nut, I'm open to numerous ideas",9,BFA design tech major emphasis in stage management,3,4,1
521,1,1/21/14 12:58,R_3e12YSb5Ap6ms2F,,,,,,,2,"The Syrian government's use of chemical weapons against it people, namely innocent civilians, women, and children, is far more than just unacceptable; it violates the rights of the people and violates what most of the world has agreed upon. These types of chemicals and weapons are believed to be too powerful and damaging for use, even in war. The United States' reaction was adequate, stating that these actions should not be permitted and will not be tolerated. The statement also brought in other countries and leaders that believed these chemical weapons were in violation of a worldwide understanding. ",1.747,1.747,174.798,1,6,5,5,4,4,4,5,3,3,3,3,4,4,6,5,2,5,4,3,4,4,3,3,4,3,5,5,4,4,4,2,2,19,4,1,Non-denominational Christian,6,Public Relations,2,4,1
307,1,1/21/14 13:15,R_2s17FJ47uI58kOF,,,,,,,2,"I think that it is concerning that they are using chemical weapons. Also, I think that it is unnecessary. ",8.606,8.606,48.338,1,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,6,4,5,6,6,6,5,4,4,4,3,2,18,1,1,Catholic,7,Spanish-BSED,3,1,1
264,1,1/21/14 15:29,R_08K2pThLli8IaCF,,,,,,,2,I think the United States should mind their own business. They wouldn't want Syria getting into their business and therefore I think we should be fair and let them be. The US should have nothing to worry about Syria and their nuclear weapontry. ,3.863,3.863,63.271,1,5,4,5,5,4,4,4,4,4,4,5,4,4,4,4,5,4,6,5,5,5,4,4,6,4,5,5,5,5,5,4,2,19,1,1,Latter Day Saints,2,Marketing,5,4,1
674,1,1/21/14 17:11,R_4HkmHJaGTlLnLp3,,,,,,,2,"The way this story was reported in the reading given, it sounds like people such as John McCain and Donald Rumsfeld were almost looking for an excuse to initiate a prolonged armed conflict with Syria. McCain was quoted as saying that he agreed that the use of chemical weapons would be a red line, as Obama had stated, but that isolated strikes were not enough of a response. Given that Rumsfeld and the Bush administration seemed to have had many problems with Bashar al Assad, I think it's safe to say many Republicans have wanted a war with Syria for a long time and wanted to take advantage of the opportunity for armed reaction that the use of chemicals weapons could have provided. Obviously, the use of chemical weapons is completely unacceptable and warranted a response, but I think the Obama administration jumped the gun when they stated it would be a ""red line"", because, as we all know, they did back-track. The solution reached in the end was a peaceful, diplomatic solution that did not involve military forces of any kind. I do believe this was the right approach.",2.699,2.699,329.831,1,3,4,3,5,6,5,6,1,2,2,1,1,2,2,4,1,5,4,6,6,6,4,2,2,1,1,1,1,1,1,1,2,19,1,2,Agnostic,9,Political Science,7,10,1
